Gender,First Name (Devanagari),Middle Name (Devanagari),Last Name (Devanagari),First Name (Roman),Middle Name (Roman),Last Name (Roman),Alternative Roman Spellings,age,caseType,caseFIR,location
1,करन,,कामी,Karan,,Kam,"Karan Ka, Karan Kam, Karan  Kam",60,Witness,FIR-2020-793,Hyderabad
0,तबसुम,,खातुन,Tabassum,,Khatun,"Tabassum . Khatun, Tabassum  Khaatun, T. Khatun",26,Witness,FIR-2021-619,Mumbai
0,सुन्दरी,,घर्ती,beautiful,,heart,"beautiful eart, beautiful  heaart, beautiful hear",51,Witness,FIR-2004-991,Madhya Pradesh
0,तविजा,,खातुन,tawija,,khatun,"tawija khatu, tawija  khatun, tawija katun",22,Criminal,FIR-2022-689,Jaipur
1,वेल,बहादुर,कामी,Well,brave,kami,"Well kami, Well kam, Well b. kami",26,Victim,FIR-2023-475,Madhya Pradesh
1,कृष्ण,,पुन,Krishna,,Pun,"Krishna  Pun, Krishna Pu, Krishna . Pun",23,Criminal,FIR-2008-641,Delhi
1,धर्म,जित,शाही,Dharma,Jit,Shahi,"Dharma Shahi, D. Shahi, Dharma Jit Shaahi",27,Witness,FIR-2012-311,Chennai
1,लक्ष्मी,नारायण,खाँ,Laxmi,Narayan,Khan,"Laxmi Kan, Laxmi Kha, Laxmi Khan",24,Suspect,FIR-2021-974,Chennai
1,अमिर,कुमार,थापा,Aamir,Kumar,Thapa,"Aamir Thap, Aamir Kumar Thaapaa, A. Thapa",34,Victim,FIR-2005-667,Madhya Pradesh
1,राम,कृष्ण,मण्‍डल,Ram,Krishna,Mandal,"Ram Krishna Maandaal, R. Mandal, Ram Krishna Mandal",26,Victim,FIR-2017-156,Mumbai
1,पवन,लाल,उराँव,Pawan,Lal,Oraon,"Pawan Orao, Pawan Oraon, Pawan Lal Oraon",18,Suspect,FIR-2000-410,Madhya Pradesh
0,गुञ्जा,कुमारी,थारु,Gunja,Kumari,Tharu,"Gunja Kumari Tharu, Gunja Taru, Gunja Kumari Thaaru",31,Witness,FIR-2003-712,Bangalore
0,पदम,कुमारी,ढकाल,Padam,Kumari,Dhakal,"Padam Kumari Dhaakaal, Padam Dhakal, P. Dhakal",52,Witness,FIR-2019-138,Pune
0,सावित्रि,श्रेष्ठ,घिमिरे,Savitri,Shrestha,Ghimire,"Savitri Shrestha Ghimire, Savitri Gimire, Savitri S. Ghimire",24,Witness,FIR-2009-796,Madhya Pradesh
1,राजु,कुमार,साह,Raju,Kumar,Sah,"Raju Kumar Sah, Raju K. Sah, R. Sah",48,Victim,FIR-2014-934,Chennai
1,लाल,,पाध्याय,Lal,,Padhyay,"Lal  Padhyay, Lal . Padhyay, Lal  Padhiai",23,Victim,FIR-2017-331,Kolkata
1,सरोज,,थारु,Saroj,,Tharu,"Saroj  Tharu, Saroj  Thaaru, Saroj . Tharu",23,Victim,FIR-2013-438,Delhi
0,मिन,कुमारी,थारु,Min,Kumari,Tharu,"Min Kumari Tharu, Min Tharu, M. Tharu",51,Victim,FIR-2006-614,Mumbai
1,पूर्ण,कुमार,लिम्बु,Purna,Kumar,Limbu,"Purna K. Limbu, Purna Kumar Limbu, P. Limbu",50,Suspect,FIR-2024-326,Madhya Pradesh
0,रतन,देबी,कुमाल,Ratan,Debi,Kumal,"R. Kumal, Ratan Debi Kumaal, Ratan D. Kumal",46,Suspect,FIR-2001-151,Madhya Pradesh
1,सोम,बहादुर,सिंजाली,Som,Bahadur,Sinjali,"Som B. Sinjali, Som Sinjali, Som Sinjal",23,Criminal,FIR-2021-481,Bangalore
0,मैया,नानी,(कटेल),Mother,Nani,(Cattail),"M. (Cattail), Mother Nani (Cattail), Mother (Cattail",37,Criminal,FIR-2005-790,Madhya Pradesh
0,सुधा,,तमाङ्ग,Sudha,,Tamang,"Sudha Tamang, Sudha . Tamang, S. Tamang",41,Witness,FIR-2017-979,Hyderabad
0,गुमा,,खनाल,Guma,,Khanal,"G. Khanal, Guma  Khaanaal, Guma Khana",37,Criminal,FIR-2019-967,Bangalore
1,दमन,,तामाङ्ग,Daman,,Tamang,"Daman  Tamang, Daman Tamang, Daman  Taamaang",51,Suspect,FIR-2019-117,Madhya Pradesh
1,श्याम,,चौधरी,Shyam,,Choudhary,"Shyam Coudary, S. Choudhary, Shyam Choudhar",43,Witness,FIR-2019-135,Chennai
0,मिना,,गुरुङ,meena,,gurung,"meena gurun, meena gurung, meena  gurung",56,Suspect,FIR-2017-696,Delhi
0,गंगा,,रिमाल,Ganga,,Rimal,"Ganga . Rimal, Ganga Rima, Ganga Rimal",39,Witness,FIR-2018-210,Delhi
0,सारदा,देवि,थापा,Sarada,Devi,Thapa,"Sarada Devi Thaapaa, Sarada D. Thapa, Sarada Tapa",60,Criminal,FIR-2002-126,Madhya Pradesh
1,खड्ग,बहादुर,खड्का,Khadga,Bahadur,Khadka,"Khadga Khadk, Khadga Bahadur Khadka, Khadga Kadka",48,Criminal,FIR-2012-939,Delhi
0,लोकी,देवी,गोराथोकी,Loki,Goddess,Gorathoki,"Loki Goratoki, Loki G. Gorathoki, Loki Gorathoki",41,Suspect,FIR-2007-164,Bangalore
1,दल,वहादुर,तमाङ,team,brave,tamang,"team brave tamang, team taman, t. tamang",32,Victim,FIR-2010-711,Mumbai
0,कुरा,देवी,चन्द,Kura,Devi,Chand,"Kura Devi Chand, Kura Chand, Kura Devi Chaand",55,Criminal,FIR-2014-441,Madhya Pradesh
0,छविमाया,,भट्टराई,Chhavimaya,,Bhattarai,"Chhavimaya  Bhaattaaraai, Chhavimaya . Bhattarai, Chhavimaya Bhattarai",50,Criminal,FIR-2006-647,Madhya Pradesh
1,चक्र,वहादुर,चन्द,Chakra,Vahadur,Chand,"Chakra Chan, Chakra Vahadur Chaand, C. Chand",49,Victim,FIR-2016-151,Delhi
0,सुनिता,भट्ट,अधिकारी,Sunita,Bhatt,Officer,"Sunita Bhatt Officer, Sunita Office, Sunita B. Officer",58,Suspect,FIR-2023-241,Madhya Pradesh
0,रिता,,विष्ट[कार्की],Rita,Visht,[Karki],"R. [Karki], Rita V. [Karki], Rita [Karki]",23,Criminal,FIR-2010-389,Mumbai
0,मन,माया,श्रेष्‍ठ,Man,Maya,best,"Man M. best, Man best, M. best",31,Witness,FIR-2024-133,Madhya Pradesh
0,मीना,,शाही,meena,,shahi,"meena shah, meena shahi, meena sai",23,Suspect,FIR-2001-534,Bangalore
1,जिधन,,घले,Jidhan,,Ghale,"Jidhan Ghale, Jidhan . Ghale, Jidhan Ghal",52,Criminal,FIR-2014-265,Bangalore
1,पदम,वहादुर,दर्जी,padam,bahadur,tailor,"padam bahadur taailor, padam b. tailor, padam tailor",48,Criminal,FIR-2002-542,Delhi
0,देवका,,अधिकारी,Devka,,Adhikari,"Devka Adhikar, Devka  Adhikari, Devka Adhikari",41,Criminal,FIR-2014-250,Pune
0,यज्ञ,कुमारी,खत्री,Yagna,Kumari,Khatri,"Yagna Kumari Khatri, Yagna Katri, Y. Khatri",53,Victim,FIR-2016-641,Mumbai
0,ढाका,कुमारी,दाहाल,Dhaka,Kumari,Dahal,"Dhaka Daha, Dhaka Kumari Dahal, Dhaka K. Dahal",56,Witness,FIR-2012-121,Madhya Pradesh
0,वन्दु,कुमारी,तेली,Vandu,Kumari,Teli,"Vandu K. Teli, Vandu Teli, V. Teli",19,Criminal,FIR-2020-319,Bangalore
0,लक्ष्‍मी,कुमारी,शाक्य,Laxmi,Kumari,Shakya,"Laxmi Kumari Shaakyaa, Laxmi Kumari Shakia, Laxmi Shaky",41,Victim,FIR-2013-119,Kolkata
1,चेतराज,,खनाल,Chetraj,,Khanal,"Chetraj . Khanal, Chetraj Kanal, C. Khanal",53,Suspect,FIR-2021-798,Delhi
1,माझी,,यादव,majhi,,yadav,"majhi yada, majhi yadav, majhi . yadav",56,Victim,FIR-2007-222,Delhi
1,शुदर्शन,प्रसाद,वाग्‍ले,Shudarshan,Prasad,Wagle,"Shudarshan P. Wagle, Shudarshan Wagle, Shudarshan Wagl",36,Criminal,FIR-2014-664,Madhya Pradesh
0,टुल्कु,माया,वुढाथोकी,Tulku,Maya,Vudhathoki,"Tulku Maya Vudhaathoki, T. Vudhathoki, Tulku Maya Vudhathoki",43,Suspect,FIR-2013-431,Mumbai
1,दुर्गा,प्रसाद,उप्रेती,Durga,Prasad,Upreti,"Durga P. Upreti, Durga Prasad Upreti, Durga Upret",55,Criminal,FIR-2010-635,Hyderabad
0,निशा,बाष्कोटा,अधिकारी,Nisha,Bashkota,Officer,"N. Officer, Nisha B. Officer, Nisha Office",54,Witness,FIR-2000-986,Madhya Pradesh
0,शोभा,,देवी,Shobha,,Devi,"Shobha . Devi, S. Devi, Shobha Dev",32,Suspect,FIR-2009-784,Mumbai
0,चन्द्र,कुमारी,आले,chandra,kumari,ale,"c. ale, chandra k. ale, chandra ale",22,Suspect,FIR-2002-229,Bangalore
1,मनराज,,गोपाली,Manraj,,Gopali,"M. Gopali, Manraj  Gopaali, Manraj Gopali",27,Suspect,FIR-2013-717,Jaipur
0,रेवता,राना,मगर,Revta,Rana,Magar,"R. Magar, Revta Rana Maagaar, Revta Maga",29,Criminal,FIR-2016-776,Mumbai
0,शर्मीला,कुमारी,बुढा,shy,virgin,man,"shy man, shy virgin maan, shy v. man",43,Witness,FIR-2020-807,Madhya Pradesh
1,विदुर,,भण्‍डारी,Vidur,,Bhandari,"V. Bhandari, Vidur  Bhaandaari, Vidur  Bhandari",45,Suspect,FIR-2005-664,Jaipur
0,ललिता,मुर्मु,मर्डी,Lalita,Murmu,Mardi,"Lalita Murmu Mardi, Lalita Mard, Lalita Murmu Maardi",41,Victim,FIR-2016-904,Madhya Pradesh
1,ध्रुव,,कोइराला,Dhruv,,Koirala,"D. Koirala, Dhruv  Koiraalaa, Dhruv Koirala",52,Victim,FIR-2008-369,Bangalore
1,शिव,कुमार,चौधरी,Shiv,Kumar,Chowdhary,"Shiv Cowdary, Shiv Chowdhar, Shiv Kumar Chowdhaary",24,Witness,FIR-2004-874,Bangalore
1,शैलेन,,महर्जन,Shailene,,Maharjan,"Shailene  Maahaarjaan, Shailene Maharja, Shailene Maharjan",31,Criminal,FIR-2017-192,Bangalore
0,कमला,,सुनार,Kamla,,Goldsmith,"Kamla Goldsmith, Kamla . Goldsmith, K. Goldsmith",32,Suspect,FIR-2024-978,Kolkata
1,सन्तोष,,गिरी,Santosh,,Giri,"Santosh Giri, Santosh . Giri, Santosh Gir",34,Criminal,FIR-2012-319,Pune
1,गोविन्द,प्रसाद,तमोली,govind,prasad,tamoli,"govind prasad taamoli, govind prasad tamoli, govind p. tamoli",60,Suspect,FIR-2014-938,Madhya Pradesh
1,दिनेश,प्रसाद,यादब,Dinesh,Prasad,Yadab,"Dinesh Yada, Dinesh Prasad Yadab, Dinesh Yadab",45,Victim,FIR-2000-358,Madhya Pradesh
1,बिजय,,चौधरी,Bijay,,Chowdhary,"B. Chowdhary, Bijay Chowdhar, Bijay  Chowdhaary",39,Suspect,FIR-2023-860,Madhya Pradesh
0,टइटी,,देवी,Titty,,Goddess,"Titty  Goddess, Titty Goddess, Titty . Goddess",52,Victim,FIR-2013-543,Madhya Pradesh
1,सुजित,,कार्की,Sujit,,Karki,"Sujit . Karki, Sujit Kark, S. Karki",40,Witness,FIR-2002-875,Kolkata
1,ज्ञान,बहादुर,राई,Gyan,Bahadur,Rai,"Gyan Ra, G. Rai, Gyan Rai",43,Witness,FIR-2013-614,Madhya Pradesh
1,लक्ष्‍मी,कान्त,चालिसे,Lakshmi,Kant,Chalisa,"Lakshmi Calisa, Lakshmi Kant Chalisa, L. Chalisa",43,Victim,FIR-2023-901,Madhya Pradesh
0,चिनी,माया,गुरुङ्ग,Chini,Maya,Gurung,"Chini M. Gurung, Chini Gurun, Chini Maya Gurung",40,Suspect,FIR-2015-457,Madhya Pradesh
0,भोजा,कुमारी,गैरे,Bhoja,Kumari,Gare,"Bhoja Gar, Bhoja Gare, Bhoja Kumari Gaare",51,Suspect,FIR-2020-137,Chennai
0,साहाबती,देवी,सुतिहार,Sahabati,Devi,Sutihar,"Sahabati Sutiha, Sahabati D. Sutihar, Sahabati Sutihar",57,Witness,FIR-2013-120,Delhi
0,पार्वती,वराई,मगर,Parvati,Varai,Magar,"Parvati Maga, P. Magar, Parvati Varai Maagaar",51,Victim,FIR-2014-984,Madhya Pradesh
1,अनुराग,,साह,Anurag,,Shah,"Anurag Shah, Anurag . Shah, Anurag Sha",49,Suspect,FIR-2004-689,Madhya Pradesh
1,ईशान,,बुद्धाचार्य,Ishaan,,Buddhacharya,"Ishaan . Buddhacharya, Ishaan Buddacarya, I. Buddhacharya",33,Criminal,FIR-2013-854,Delhi
1,उज्वल,,मैनाली,bright,,mainali,"bright mainali, bright  maainaali, b. mainali",28,Witness,FIR-2003-714,Jaipur
1,अनिश,कुमार,महतो,Anish,Kumar,Mahato,"Anish Kumar Maahaato, Anish Mahat, A. Mahato",56,Victim,FIR-2007-254,Madhya Pradesh
1,डायाङ,,तामाङ,diyang,,tamang,"diyang  tamang, diyang tamang, d. tamang",48,Witness,FIR-2017-281,Madhya Pradesh
0,आरती,कुमारी,गणेश,Aarti,Kumari,Ganesh,"Aarti Ganesh, Aarti K. Ganesh, Aarti Kumari Ganesh",24,Suspect,FIR-2006-342,Madhya Pradesh
0,अनिता,,कुमाल,Anita,,Kumal,"A. Kumal, Anita  Kumal, Anita  Kumaal",33,Suspect,FIR-2024-272,Madhya Pradesh
0,खीमा,देवी,क्षेत्री,Kheema,Devi,Kshetri,"Kheema Kshetr, Kheema Kshetri, Kheema D. Kshetri",26,Suspect,FIR-2013-784,Madhya Pradesh
0,थमकला,,थापा,Thamkala,,Thapa,"Thamkala Tapa, Thamkala . Thapa, Thamkala  Thaapaa",38,Witness,FIR-2022-611,Bangalore
1,सन्दिप,,गौतम,Sandeep,,Gautam,"Sandeep . Gautam, Sandeep Gauta, Sandeep  Gaautaam",41,Witness,FIR-2005-892,Kolkata
0,चम्‍पा,देवी,तेलिन,Champa,Devi,Telin,"Champa Telin, Champa D. Telin, C. Telin",29,Witness,FIR-2005-454,Bangalore
0,कान्‍छी,,थापामगर,Kanchi,,Thapamagar,"Kanchi Tapamagar, Kanchi Thapamaga, Kanchi Thapamagar",58,Victim,FIR-2023-309,Jaipur
1,दिपेन्‍द्र,,साह,Dipendra,,Sah,"Dipendra  Sah, Dipendra . Sah, D. Sah",26,Suspect,FIR-2021-968,Hyderabad
1,उमेश्वर,राय,यादव,Umeshwar,Rai,Yadav,"Umeshwar R. Yadav, Umeshwar Rai Yadav, Umeshwar Yadav",19,Victim,FIR-2010-282,Kolkata
1,सुनिल,,भण्डारी,Sunil,,Bhandari,"S. Bhandari, Sunil Bhandar, Sunil Bandari",41,Suspect,FIR-2014-895,Bangalore
0,मुखिया,,चौधरी,Chief,,Chowdhary,"C. Chowdhary, Chief  Chowdhaary, Chief Cowdary",22,Witness,FIR-2019-628,Hyderabad
1,प्रबिन,कुमार,चौधरी,Prabin,Kumar,Chaudhary,"Prabin Chaudhary, Prabin Kumar Chaudhari, Prabin Caudary",56,Suspect,FIR-2002-245,Bangalore
1,हरी,भजन,लोहार,hari,bhajan,lohar,"hari bhajan lohar, h. lohar, hari loha",56,Suspect,FIR-2009-274,Delhi
1,पदम,बहादुर,कार्की,Padam,Bahadur,Karki,"Padam B. Karki, Padam Bahadur Kaarki, Padam Kark",39,Suspect,FIR-2023-562,Chennai
1,गाल्देन,,शेर्पा,galden,,sherpa,"galden  sherpaa, galden sherpa, galden sherp",38,Witness,FIR-2019-303,Delhi
0,सुनिता,,देवी,Sunita,,Devi,"Sunita  Devi, Sunita Devi, Sunita Dev",57,Criminal,FIR-2010-575,Kolkata
1,निखील,,साह,Nikhil,,Shah,"Nikhil Shah, Nikhil Sa, Nikhil  Shaah",34,Suspect,FIR-2015-881,Madhya Pradesh
0,चंख,माया,राई,Chankh,Maya,Rye,"Chankh Rye, Chankh Ry, Chankh M. Rye",39,Suspect,FIR-2008-222,Madhya Pradesh
0,पवन,कुमारी,देवी,Pawan,Kumari,Devi,"Pawan K. Devi, Pawan Devi, Pawan Dev",22,Suspect,FIR-2001-561,Madhya Pradesh
1,लक्ष्मण,,खत्री,Laxman,,Khatri,"L. Khatri, Laxman  Khaatri, Laxman Katri",37,Witness,FIR-2023-846,Bangalore
1,दिनेश,,माझी,dinesh,,majhi,"dinesh  majhi, dinesh maji, dinesh  maajhi",24,Criminal,FIR-2000-867,Delhi
0,एकलास,देवी,तेलीन,Eklas,Devi,Teelin,"Eklas Teelin, Eklas Teeli, Eklas D. Teelin",50,Criminal,FIR-2018-648,Madhya Pradesh
0,कुन्ती,,श्रेष्ठ,kunti,,shreshtha,"kunti . shreshtha, kunti  shreshthaa, kunti shreshth",50,Suspect,FIR-2010-129,Madhya Pradesh
0,चिन,माया,तामाङ,Chin,Maya,Tamang,"C. Tamang, Chin Maya Taamaang, Chin Maya Tamang",58,Victim,FIR-2017-877,Madhya Pradesh
1,कन्हैया,लाल,कलवार,Kanhaiya,Lal,Kalwar,"Kanhaiya Lal Kaalwaar, Kanhaiya Lal Kalwar, K. Kalwar",20,Witness,FIR-2008-195,Pune
0,पवित्रा,,साउद,Pavitra,,Saud,"Pavitra Sau, Pavitra  Saud, Pavitra  Saaud",40,Suspect,FIR-2021-729,Kolkata
1,कुल,बहादुर,बोगटी,Total,brave,hero,"Total brave hero, Total her, Total ero",27,Criminal,FIR-2013-132,Kolkata
0,बासु,,दमाइ,Basu,,Damai,"Basu . Damai, B. Damai, Basu Damai",23,Witness,FIR-2007-619,Madhya Pradesh
1,रिम,बहादुर,सोमै,Rim,Bahadur,Somai,"Rim Bahadur Somaai, R. Somai, Rim Bahadur Somai",51,Victim,FIR-2005-623,Madhya Pradesh
1,राम,बहादुर,गाहा,Ram,Bahadur,Gaha,"Ram Gaa, R. Gaha, Ram Bahadur Gaahaa",56,Witness,FIR-2023-316,Kolkata
0,रानीवती,देवी,दास,Raniwati,Devi,Das,"Raniwati Da, Raniwati Devi Daas, R. Das",39,Suspect,FIR-2000-702,Delhi
1,गया,प्रसाद,थारु,Gaya,Prasad,Tharu,"Gaya Thar, Gaya Tharu, Gaya Taru",43,Victim,FIR-2008-439,Bangalore
0,कमला,पोख्रेल,क्षेत्री,Kamala,Pokhrel,Kshetriya,"K. Kshetriya, Kamala Pokhrel Kshetriya, Kamala Kshetriya",19,Criminal,FIR-2008-420,Madhya Pradesh
0,धनमन्ति,देवी,सुतिहार,Dhanmanti,Devi,Sutihar,"Dhanmanti Sutiar, Dhanmanti Devi Sutihar, Dhanmanti Devi Sutihaar",52,Witness,FIR-2000-741,Delhi
1,हरिवंश,कुमार,मंडल,Harivansh,Kumar,Mandal,"Harivansh Mandal, Harivansh Manda, Harivansh K. Mandal",25,Suspect,FIR-2003-452,Hyderabad
0,साधना,,थारु,sadhana,,tharu,"sadhana tharu, sadhana  thaaru, sadhana thar",28,Criminal,FIR-2000-701,Mumbai
0,सविना,,राई,Savina,,Rye,"Savina Ry, Savina Rye, Savina  Rie",29,Witness,FIR-2014-492,Chennai
1,राधे,श्याम,थारु,Radhe,Shyam,Tharu,"Radhe Taru, Radhe Shyam Tharu, Radhe S. Tharu",24,Victim,FIR-2004-123,Chennai
0,राम,माया,राई,Ram,Maya,Rai,"Ram M. Rai, Ram Maya Raai, Ram Ra",46,Witness,FIR-2000-842,Bangalore
1,टंक,बहादुर,काफ्ले,Tank,Bahadur,Caravan,"Tank Carava, Tank Bahadur Caaraavaan, Tank B. Caravan",30,Witness,FIR-2008-552,Chennai
0,कल्पना,,खत्री,Kalpana,,Khatri,"Kalpana Khatri, Kalpana  Khatri, Kalpana . Khatri",36,Criminal,FIR-2004-587,Delhi
0,दुर्गा,,शाही,Durga,,Shahi,"Durga Shah, Durga  Shaahi, Durga Shahi",56,Criminal,FIR-2005-907,Madhya Pradesh
0,सिन्धु,,पन्थी,Sindhu,,Panthi,"Sindhu Panth, Sindhu  Panthi, S. Panthi",39,Suspect,FIR-2001-273,Madhya Pradesh
0,भगवती,,न्यौपाने,Bhagwati,,Nyupane,"Bhagwati  Nyupaane, Bhagwati  Niupane, B. Nyupane",52,Witness,FIR-2016-855,Madhya Pradesh
0,ललीता,,बम,Lalitha,,Bomb,"Lalitha  Bomb, Lalitha . Bomb, L. Bomb",23,Witness,FIR-2016-961,Madhya Pradesh
1,संजिव,कुमार,साह,Sanjeev,Kumar,Sah,"S. Sah, Sanjeev K. Sah, Sanjeev Sah",58,Criminal,FIR-2016-687,Hyderabad
0,चन्द्र,कला,बराल,Chandra,Kala,Baral,"Chandra Kala Baral, Chandra Bara, Chandra Kala Baaraal",57,Criminal,FIR-2015-739,Delhi
0,दिर्घ,माया,पुलामी,dirgha,maya,pulami,"d. pulami, dirgha pulam, dirgha pulami",20,Witness,FIR-2009-718,Kolkata
0,इन्दु,,पौदार,indu,,paudar,"indu . paudar, indu  paaudaar, indu pauda",23,Criminal,FIR-2005-715,Bangalore
0,पार्भती,देवी,थापा,Parbati,Devi,Thapa,"Parbati Devi Thaapaa, Parbati Devi Thapa, Parbati Tapa",38,Victim,FIR-2002-604,Madhya Pradesh
1,लाल,बहादुर,राई,Lal,Bahadur,Rai,"Lal Ra, Lal Bahadur Rai, Lal Bahadur Raai",32,Suspect,FIR-2007-798,Delhi
1,प्रेम,बहादुर,मगर,Prem,Bahadur,Magar,"Prem Magar, Prem Bahadur Maagaar, Prem Bahadur Magar",29,Criminal,FIR-2017-232,Hyderabad
1,राजेश्वर,,राय,Rajeswar,,Rai,"Rajeswar . Rai, Rajeswar  Rai, Rajeswar Rai",23,Suspect,FIR-2001-550,Pune
0,हिरा,,ठकुरी,Hira,,Thakuri,"H. Thakuri, Hira Thakur, Hira  Thakuri",33,Criminal,FIR-2004-998,Chennai
0,नन्द,कला,पुरी,Nand,Kala,Puri,"Nand Puri, Nand Kala Puri, Nand Pur",43,Witness,FIR-2020-554,Madhya Pradesh
0,यज्ञ,कुमारी,कार्की,Yagya,Kumari,Karki,"Y. Karki, Yagya Karki, Yagya Kumari Kaarki",43,Victim,FIR-2003-369,Chennai
0,बशन्ति,,सिंह,Basanti,,Singh,"Basanti Sing, Basanti . Singh, B. Singh",47,Victim,FIR-2013-646,Madhya Pradesh
1,भानी,लाल,लाबड,Bhaani,Lal,Labd,"Bhaani Lal Labd, Bhaani Lab, B. Labd",51,Suspect,FIR-2014-551,Madhya Pradesh
0,भगवती,,न्यौपाने,Bhagwati,,Nyupane,"Bhagwati Nyupan, B. Nyupane, Bhagwati  Niupane",24,Victim,FIR-2002-253,Kolkata
1,नारायण,प्रशाद,तिरुवा,Narayan,Prasad,Tiruva,"Narayan Prasad Tiruvaa, Narayan P. Tiruva, N. Tiruva",49,Witness,FIR-2005-948,Bangalore
1,प्रविन,कुमार,थन्दार,Pravin,Kumar,Thandar,"Pravin Thandar, Pravin K. Thandar, Pravin Thanda",43,Witness,FIR-2015-827,Mumbai
0,कली,,नेपाली,Bud,,Nepali,"Bud . Nepali, Bud Nepali, B. Nepali",54,Witness,FIR-2002-556,Kolkata
1,गंग,बहादुर,कोईराला,Ganga,Bahadur,Koirala,"Ganga B. Koirala, Ganga Koirala, Ganga Bahadur Koirala",38,Witness,FIR-2000-690,Madhya Pradesh
0,रन्जना,,मिश्र,Ranjana,,Mishra,"Ranjana  Mishraa, R. Mishra, Ranjana Misra",21,Victim,FIR-2007-427,Madhya Pradesh
1,धन,बहादुर,रावल,Dhan,Bahadur,Rawal,"D. Rawal, Dhan B. Rawal, Dhan Bahadur Raawaal",60,Criminal,FIR-2018-249,Bangalore
1,राम,देव,मंडल,Ram,Dev,Mandal,"Ram D. Mandal, Ram Dev Mandal, Ram Dev Maandaal",54,Witness,FIR-2022-424,Delhi
1,पोख,राज,उप्रेती,Pokh,Raj,Upreti,"Pokh Raj Upreti, Pokh Upret, Pokh R. Upreti",24,Suspect,FIR-2005-672,Bangalore
1,राम,चन्‍द्र,कोइरी,Ram,Chandra,Koiri,"Ram Koiri, Ram Chandra Koiri, R. Koiri",56,Victim,FIR-2014-797,Mumbai
1,प्रविण,कुमार,महरा,Pravin,Kumar,Mehra,"Pravin Mehr, Pravin Kumar Mehraa, Pravin Mehra",53,Criminal,FIR-2009-749,Bangalore
0,सोन,केशरी,चौधरी,Son,Keshri,Chowdhary,"S. Chowdhary, Son Keshri Chowdhary, Son Chowdhary",24,Witness,FIR-2010-526,Delhi
0,अमृता,कुमारी,माझी,Amrita,Kumari,Majhi,"A. Majhi, Amrita K. Majhi, Amrita Majh",48,Witness,FIR-2005-719,Madhya Pradesh
0,बुद्धी,माया,गोले,Buddhi,Maya,Gole,"Buddhi M. Gole, B. Gole, Buddhi Gol",44,Criminal,FIR-2014-440,Mumbai
1,पुरन,,राई,Puran,,Rye,"P. Rye, Puran Rye, Puran  Rye",56,Witness,FIR-2008-144,Madhya Pradesh
1,गंगाराम,,मण्डल,Gangaram,,Mandal,"Gangaram Manda, G. Mandal, Gangaram Mandal",48,Criminal,FIR-2012-766,Chennai
0,सबिना,,नगरकोटी,Sabina,,Nagarkoti,"Sabina  Naagaarkoti, S. Nagarkoti, Sabina Nagarkot",25,Suspect,FIR-2010-563,Chennai
0,भिमा,,खड्का,Bhima,,Khadka,"Bhima Khadk, B. Khadka, Bhima  Khadka",50,Criminal,FIR-2012-731,Madhya Pradesh
1,मेजर,मान,श्रेष्‍ठ,Major,Mann,Shrestha,"Major Mann Shrestha, Major Shrestha, Major M. Shrestha",36,Suspect,FIR-2004-922,Mumbai
0,आरती,,पाल,Aarti,,Pal,"Aarti Pa, Aarti Pal, Aarti  Paal",52,Witness,FIR-2019-629,Madhya Pradesh
1,सविन,,तिवारी,Savin,,Tiwari,"Savin . Tiwari, S. Tiwari, Savin Tiwari",33,Victim,FIR-2024-106,Hyderabad
1,रते,,रोकाया,Rate,,Rokaya,"Rate  Rokaia, Rate Rokaya, Rate . Rokaya",26,Witness,FIR-2018-896,Kolkata
0,मनसरा,,विश्वकर्मा,Mansara,,Vishwakarma,"M. Vishwakarma, Mansara Viswakarma, Mansara Vishwakarma",50,Victim,FIR-2009-261,Bangalore
1,फुर्वा,तेम्वा,शेर्पा,phurwa,temwa,sherpa,"phurwa temwa sherpaa, phurwa sherpa, p. sherpa",26,Criminal,FIR-2001-181,Madhya Pradesh
1,बल,बहादुर,राना,bal,bahadur,rana,"bal rana, b. rana, bal ran",56,Witness,FIR-2009-221,Chennai
0,सिर्जना,कुमारी,रेग्मी,Srijan,Kumari,Regmi,"S. Regmi, Srijan Kumari Regmi, Srijan K. Regmi",38,Suspect,FIR-2009-667,Bangalore
0,मनकुमारी,,खवास,Mankumari,,Khawas,"M. Khawas, Mankumari . Khawas, Mankumari Khawas",29,Witness,FIR-2010-530,Bangalore
0,प्रमिला,देवी,झागड,Pramila,Devi,Jhagad,"P. Jhagad, Pramila Jagad, Pramila Jhaga",56,Criminal,FIR-2012-255,Madhya Pradesh
1,भिम,बहादुर,कसेरा,Bhim,Bahadur,Kasera,"Bhim Bahadur Kaaseraa, Bhim B. Kasera, Bhim Kaser",20,Victim,FIR-2012-467,Kolkata
0,अनिता,कवर,थारु,anita,cover,tharu,"anita cover tharu, a. tharu, anita taru",42,Victim,FIR-2004-255,Delhi
0,फुल,माया,सुनुवार,full,maya,sunuwar,"full m. sunuwar, full sunuwar, full maya sunuwar",41,Criminal,FIR-2009-333,Mumbai
0,अल्बिना,,बडाल,Albina,,Badal,"Albina Bada, A. Badal, Albina . Badal",54,Criminal,FIR-2002-130,Madhya Pradesh
1,जहीर,,खान,zaheer,,khan,"zaheer . khan, z. khan, zaheer kha",50,Victim,FIR-2016-804,Hyderabad
