Names,voter_gender,age,caseType,caseFIR,location
Ram Tharu,1,33,Suspect,FIR-2003-897,Rewa
Meghraj Rai,1,57,Victim,FIR-2013-983,Rewa
Khem Kumari Sunaar,0,44,Criminal,FIR-2016-962,Rewa
Ganga Maya Lama,0,53,Witness,FIR-2018-272,Rewa
Ganga M. Lama,0,23,Victim,FIR-2011-981,Indore
Geeta Rajvansi,0,40,Witness,FIR-2000-388,Indore
prithi ra,1,36,Witness,FIR-2023-659,Indore
Pavi Khadka,0,59,Witness,FIR-2018-359,Gwalior
Parvata Shrestha,0,19,Victim,FIR-2020-425,Sagar
K. Bhujel,0,31,Victim,FIR-2017-770,Dewas
Ram Singh Danuwar,1,32,Criminal,FIR-2020-951,Bhopal
Vijay Kumar Shah,1,32,Criminal,FIR-2004-401,Jabalpur
Pradeep  Budha,1,29,Victim,FIR-2020-407,Gwalior
Sarita Adikari,0,53,Criminal,FIR-2010-446,Rewa
R. craftsman,1,35,Suspect,FIR-2001-198,Rewa
Vinod Shah Teli,1,24,Criminal,FIR-2013-904,Ujjain
Kamal  Adhikaari,1,48,Suspect,FIR-2013-271,Jabalpur
N. Bhatt,1,42,Suspect,FIR-2022-650,Gwalior
Sahir Ali Mansuri,1,38,Suspect,FIR-2007-352,Satna
Krishna Sresta,1,36,Victim,FIR-2012-931,Satna
rajendra goldsmit,1,22,Criminal,FIR-2004-954,Gwalior
Chamarlal Sarda,1,46,Suspect,FIR-2000-659,Gwalior
manu . giri,0,25,Witness,FIR-2008-914,Ujjain
Bal Bahadur Dagaura,1,33,Suspect,FIR-2007-745,Rewa
Pratap  Luitel,1,58,Witness,FIR-2008-918,Dewas
R. (Nepali),1,31,Criminal,FIR-2013-429,Satna
Top B. Basnet,1,46,Victim,FIR-2013-620,Dewas
Dipendra  Raut,1,29,Suspect,FIR-2013-667,Dewas
Mohan  Paudel,1,43,Suspect,FIR-2023-111,Rewa
nurvu serpa,1,39,Witness,FIR-2021-148,Rewa
Kamala  Vayalkoti,0,34,Victim,FIR-2008-729,Dewas
Bijay Chowdhary,1,21,Witness,FIR-2000-635,Ujjain
Suresh . Nyupane,1,22,Witness,FIR-2009-615,Rewa
Bhaani Lal Labd,1,58,Victim,FIR-2022-604,Rewa
kruparam . oli,1,35,Suspect,FIR-2007-214,Jabalpur
M. Limbu,0,51,Criminal,FIR-2017-241,Jabalpur
deepak kadara,0,24,Criminal,FIR-2008-522,Bhopal
Namraj  Thapliya,1,25,Victim,FIR-2010-705,Dewas
Seti Maya Praja,0,37,Criminal,FIR-2011-292,Gwalior
Mansih o. man,1,46,Criminal,FIR-2019-524,Gwalior
vandana  raanaa,0,34,Suspect,FIR-2008-345,Bhopal
Babu Raja Maharjan,1,41,Victim,FIR-2015-946,Indore
Deva R. Chhetri,0,27,Criminal,FIR-2008-654,Satna
Gautam Das,1,47,Suspect,FIR-2024-474,Gwalior
Manjit Gurung,1,28,Suspect,FIR-2000-374,Satna
Lille Dama,1,21,Criminal,FIR-2002-706,Rewa
Sharmila  Magar,0,49,Criminal,FIR-2014-745,Bhopal
Gopal  Shrestha,1,31,Criminal,FIR-2010-771,Bhopal
poonam . dhawal,0,19,Victim,FIR-2024-658,Jabalpur
remember goldsmit,0,46,Victim,FIR-2005-825,Jabalpur
Delhi Bahadur Khaatri,1,39,Victim,FIR-2023-857,Jabalpur
Ram Kark,1,53,Witness,FIR-2005-954,Jabalpur
Sunita Bomjan,0,20,Victim,FIR-2016-322,Sagar
Kiran  KC,1,32,Witness,FIR-2010-931,Sagar
Sabir Sah Faakir,1,58,Witness,FIR-2014-763,Ujjain
Maya Devi Upreti,0,53,Criminal,FIR-2023-757,Dewas
B. Rai,1,39,Victim,FIR-2015-615,Sagar
K. Bhatt,1,32,Victim,FIR-2024-595,Satna
Gopal K. Kadayat,1,27,Victim,FIR-2010-728,Rewa
sunesa . khatun,0,52,Victim,FIR-2018-912,Bhopal
Nilalakshmi Lam,0,51,Criminal,FIR-2018-513,Sagar
Shyam Kumari Virakatta,0,28,Criminal,FIR-2016-708,Jabalpur
Shyam Ting,1,26,Suspect,FIR-2022-219,Sagar
Kamal Lama Tamang,1,45,Victim,FIR-2000-598,Jabalpur
Shailene  Maahaarjaan,1,36,Criminal,FIR-2003-448,Jabalpur
Faudar Chowdhury,1,51,Witness,FIR-2022-433,Sagar
Deu Rai,0,31,Witness,FIR-2022-135,Ujjain
Maan B. Vali,1,49,Criminal,FIR-2015-706,Satna
Lakshmi Lama,0,54,Suspect,FIR-2019-143,Jabalpur
Sandesh Ghimire,1,34,Suspect,FIR-2001-774,Indore
Bijay Vishwakarma,1,60,Witness,FIR-2008-457,Ujjain
Umesh Mahat,1,39,Criminal,FIR-2014-846,Rewa
Tek B. Khatri,1,52,Witness,FIR-2011-886,Rewa
dinesh majhi,1,48,Criminal,FIR-2003-176,Satna
Man Kumari Rai,0,24,Victim,FIR-2006-723,Dewas
P. Rana,0,50,Victim,FIR-2012-477,Gwalior
Sharada Adhikar,0,21,Criminal,FIR-2010-525,Indore
Laxmi Dev,0,18,Suspect,FIR-2020-694,Dewas
Deepak Sharma,1,30,Criminal,FIR-2011-133,Bhopal
Namraj Thapliy,1,29,Criminal,FIR-2012-292,Jabalpur
Dinesh Prasad Yadab,1,21,Victim,FIR-2011-414,Rewa
bal ran,1,36,Witness,FIR-2004-618,Sagar
Son Chowdhary,0,45,Suspect,FIR-2024-954,Rewa
Maya Wagl,0,30,Suspect,FIR-2019-627,Gwalior
s. message,1,54,Criminal,FIR-2011-895,Dewas
Pankaj Yadav,1,27,Suspect,FIR-2003-108,Satna
B. Bohra,0,53,Suspect,FIR-2015-240,Ujjain
P. Sherpa,0,23,Witness,FIR-2016-596,Jabalpur
Prabhav Devi Mandal Kevat,0,47,Witness,FIR-2015-106,Bhopal
Tulsi . Thapa,0,38,Victim,FIR-2017-719,Ujjain
Parvati Varai Magar,0,34,Suspect,FIR-2022-778,Gwalior
Deumaali Kami,0,36,Witness,FIR-2022-660,Ujjain
Deepak Sahni,1,45,Victim,FIR-2000-818,Indore
Kamala (Capaagai),0,43,Victim,FIR-2010-432,Ujjain
Durgi Magar,0,44,Suspect,FIR-2024-141,Jabalpur
Ishwar Bahadur Bhaandaari,1,59,Suspect,FIR-2007-667,Ujjain
Kausila Kami,0,42,Suspect,FIR-2009-196,Gwalior
Harimaya Dahal,0,36,Victim,FIR-2001-358,Dewas
Kalpana . Khatri,0,24,Victim,FIR-2023-252,Bhopal
Meenraj Kafle,1,42,Criminal,FIR-2001-358,Jabalpur
Dhruv  Koiraalaa,1,23,Witness,FIR-2023-252,Bhopal
Lakshmi . Bhandari,0,36,Witness,FIR-2005-897,Bhopal
Sita bes,0,20,Victim,FIR-2016-417,Jabalpur
H. Budhamgar,0,41,Witness,FIR-2007-259,Dewas
R. Saday,0,32,Suspect,FIR-2022-190,Bhopal
Ram Krishna Mandal,1,24,Witness,FIR-2015-120,Ujjain
krishna best,0,38,Criminal,FIR-2011-993,Sagar
Sumitra Basne,0,60,Witness,FIR-2016-576,Bhopal
Mother (Cattail,0,34,Criminal,FIR-2009-790,Gwalior
Gyan Devi Rokaya,0,51,Victim,FIR-2014-204,Satna
R. Taramu,0,19,Victim,FIR-2014-144,Satna
Dr. Gauta,1,45,Criminal,FIR-2012-723,Sagar
M. Chowdhary,1,34,Suspect,FIR-2008-311,Sagar
Rina  Lonia,0,23,Criminal,FIR-2023-581,Dewas
Shankar Bohra,1,59,Suspect,FIR-2006-929,Dewas
R. Mahato,0,18,Suspect,FIR-2021-722,Sagar
Major Shrestha,1,26,Criminal,FIR-2015-307,Indore
Sansriya Devi Koirin,0,18,Criminal,FIR-2008-850,Jabalpur
K. Sunar,0,28,Witness,FIR-2018-324,Rewa
Manoj Mamlin,1,42,Criminal,FIR-2003-966,Satna
Hira Devi Maagaar,0,37,Witness,FIR-2001-338,Gwalior
koshila  kumari,0,36,Witness,FIR-2022-465,Indore
Gun Bahadur Giri,1,46,Suspect,FIR-2015-613,Jabalpur
Sher Bahadur Kumaal,1,45,Criminal,FIR-2009-253,Ujjain
M. Goldsmith,0,40,Criminal,FIR-2021-590,Rewa
Lakshmi Gimire(Karki),0,33,Suspect,FIR-2000-940,Dewas
Chando Kumari Mandal,0,26,Criminal,FIR-2021-316,Satna
Sumintra Devi Thakur Badhi,0,38,Victim,FIR-2003-889,Dewas
Padma Timalsina,1,52,Suspect,FIR-2022-445,Satna
Dand Prasad Dhakal,1,38,Victim,FIR-2020-290,Sagar
Prakash Bhat,1,18,Suspect,FIR-2004-737,Sagar
Padam Bahadur Aryal,1,46,Victim,FIR-2007-255,Jabalpur
Gyan Ra,1,40,Witness,FIR-2014-701,Gwalior
Samoj  Raam,1,32,Suspect,FIR-2006-381,Jabalpur
Arvind Upreti,1,24,Witness,FIR-2008-343,Dewas
Dhan Maya Khaadkaa,0,60,Witness,FIR-2014-544,Ujjain
Vandu K. Teli,0,47,Suspect,FIR-2004-973,Sagar
T. Gurung,0,40,Witness,FIR-2007-237,Jabalpur
Indra B. Khadgi,1,38,Victim,FIR-2018-641,Indore
Tek Bahadur Rawal,1,58,Victim,FIR-2004-239,Sagar
Ajiwul Massi,1,32,Witness,FIR-2001-298,Dewas
Sushma  Khadka,0,34,Witness,FIR-2000-212,Jabalpur
Aash Guruan,0,56,Witness,FIR-2014-491,Sagar
kalpana mahatra,0,52,Witness,FIR-2011-900,Bhopal
V. Pandit,1,31,Criminal,FIR-2019-948,Satna
hari sharan shreshtha,1,18,Victim,FIR-2005-704,Satna
flower pakhrin,0,41,Suspect,FIR-2024-197,Dewas
Fourth . Rishidev,1,34,Criminal,FIR-2005-329,Satna
Dor Bahadur Lungeli Magar,1,40,Criminal,FIR-2006-602,Sagar
Hari L. Sarki,1,29,Criminal,FIR-2000-648,Jabalpur
Kusmavati  Maallaah,0,36,Criminal,FIR-2014-208,Jabalpur
Shanti . Kuikel,0,59,Victim,FIR-2010-872,Bhopal
Hari Prasad Shrestha,1,47,Criminal,FIR-2015-784,Ujjain
S. Dhakal,1,44,Witness,FIR-2007-310,Satna
maya  chand,0,31,Witness,FIR-2004-979,Sagar
Radheshyam Shepherd,1,28,Criminal,FIR-2008-157,Dewas
Rane Park,1,32,Suspect,FIR-2023-556,Jabalpur
Fudan  Mochi,1,44,Criminal,FIR-2009-789,Ujjain
Deepak Kumar Maandaal,1,53,Suspect,FIR-2014-296,Sagar
chandra devi dhaami,0,31,Witness,FIR-2003-774,Dewas
long i. but,0,46,Victim,FIR-2017-459,Dewas
Ram Prasad Nepaal,1,18,Witness,FIR-2010-609,Bhopal
Parashuram . Varakoti,1,39,Witness,FIR-2008-985,Rewa
P. Tharu,0,25,Victim,FIR-2015-495,Gwalior
Uma Bisht,0,29,Witness,FIR-2004-712,Bhopal
Anish Mahat,1,56,Witness,FIR-2005-912,Ujjain
Home B. Shrestha,1,30,Witness,FIR-2001-773,Dewas
Kavita  Vishwaakaarmaa,0,34,Criminal,FIR-2006-596,Ujjain
Sarita Dama,0,38,Victim,FIR-2022-408,Dewas
Om Prakash Shaarmaa,1,31,Suspect,FIR-2015-453,Dewas
D. Sarki,1,54,Witness,FIR-2002-586,Indore
Rita Budhathok,0,60,Witness,FIR-2015-802,Indore
Damvar K. Guragai,0,21,Victim,FIR-2005-136,Bhopal
S. Chowdhary,0,54,Victim,FIR-2015-532,Jabalpur
arun mukiya,1,43,Witness,FIR-2004-493,Bhopal
I. Baruwal,1,45,Criminal,FIR-2016-690,Gwalior
T. K,0,49,Suspect,FIR-2017-489,Jabalpur
Padam Bahadur Arial,1,41,Witness,FIR-2017-989,Jabalpur
Vishnu Pariyar,0,58,Witness,FIR-2019-578,Jabalpur
Makaman  Kaami,1,39,Suspect,FIR-2017-982,Rewa
J. Ghimire,1,24,Victim,FIR-2003-722,Gwalior
joginder . sahani,1,27,Suspect,FIR-2016-806,Indore
Chandra M. Pradhan,0,56,Suspect,FIR-2013-511,Jabalpur
Rekha Thapa,0,47,Witness,FIR-2002-131,Gwalior
Menuka Kumari Kunwaar,0,50,Suspect,FIR-2006-232,Rewa
Chandra Maya Praadhaan,0,49,Victim,FIR-2015-693,Bhopal
R. Mandal,1,55,Witness,FIR-2023-215,Bhopal
kalpana maatra,0,44,Witness,FIR-2023-651,Gwalior
Zaibun . Nesha,0,52,Victim,FIR-2015-791,Gwalior
Shudarshan Wagl,1,20,Suspect,FIR-2017-615,Indore
Samridhi Silwal,0,56,Criminal,FIR-2014-267,Gwalior
Ganesh B. Shrestha,1,22,Suspect,FIR-2008-650,Rewa
Omprakash . Choudhary,1,43,Witness,FIR-2018-840,Satna
flower pakrin,0,31,Criminal,FIR-2017-129,Bhopal
Shambhu . Vad,1,56,Criminal,FIR-2010-146,Ujjain
Jhak Bahadur Thapa,1,22,Suspect,FIR-2009-298,Jabalpur
Shiv Chandra Karki,1,29,Witness,FIR-2004-656,Indore
Ambar Gol,1,32,Victim,FIR-2020-829,Bhopal
indira . sah,0,53,Criminal,FIR-2010-760,Dewas
B. Mandal,0,53,Victim,FIR-2008-461,Ujjain
Sanjib . Tharu,1,38,Suspect,FIR-2000-907,Indore
Chhavimaya . Bhattarai,0,28,Criminal,FIR-2022-556,Dewas
Ajay Kumar Dev,1,21,Suspect,FIR-2013-560,Rewa
Bharat . Paudel,1,23,Victim,FIR-2012-505,Indore
Jago Boatman,0,52,Victim,FIR-2007-672,Rewa
Mani Bartal,0,24,Suspect,FIR-2018-928,Indore
Virendra Kumar Pandit,1,24,Witness,FIR-2021-560,Jabalpur
Yachu Maharja,0,43,Suspect,FIR-2021-389,Ujjain
Sunita  Chowdhaary,0,51,Witness,FIR-2020-290,Rewa
Pavitra Basyal,0,23,Witness,FIR-2005-568,Ujjain
Padam B. Karki,1,28,Suspect,FIR-2015-418,Sagar
jagdish yadav,1,37,Suspect,FIR-2017-590,Gwalior
Harivansh Mandal,1,50,Witness,FIR-2010-863,Sagar
M. Pant,0,25,Suspect,FIR-2011-695,Rewa
M. Ansari,1,25,Victim,FIR-2007-402,Gwalior
R. Giri,0,53,Suspect,FIR-2022-564,Ujjain
chandra chand,0,54,Witness,FIR-2017-593,Indore
Jaylal Mehra,1,25,Witness,FIR-2001-906,Sagar
Pasang Taman,0,25,Criminal,FIR-2011-171,Dewas
Laxman Khatri,1,44,Victim,FIR-2006-450,Indore
Badri N. Baade,1,46,Suspect,FIR-2015-185,Satna
d. prajapati,0,35,Witness,FIR-2021-559,Gwalior
Dinanath  Paswan,1,21,Witness,FIR-2004-356,Indore
Manoj  Rai,1,18,Victim,FIR-2017-445,Sagar
Ramsunair Devi Maahaato,0,47,Criminal,FIR-2005-999,Gwalior
Vinod . Lama,1,40,Witness,FIR-2011-129,Sagar
Ganesh Bahadur Shrestha,1,31,Criminal,FIR-2013-563,Indore
Chameli Chowdhary,0,41,Victim,FIR-2014-482,Dewas
maya p. tomorrow,0,46,Criminal,FIR-2004-234,Sagar
भग राई,0,57,Witness,FIR-2004-521,Rewa
Ask Lal Rajvanshi,1,31,Victim,FIR-2003-893,Dewas
Bal Bahadur Chowdhury,1,23,Witness,FIR-2008-119,Bhopal
Shyam Tailor,1,59,Witness,FIR-2007-844,Sagar
Jeetani D. Sardar,0,35,Suspect,FIR-2015-225,Satna
Susma Limbu,0,59,Suspect,FIR-2007-596,Rewa
suresh shrestha,1,19,Criminal,FIR-2000-118,Bhopal
Pooja Gorsain,0,60,Criminal,FIR-2000-811,Dewas
Uttam Gimire,1,33,Suspect,FIR-2011-870,Gwalior
Marigold Harijan,0,23,Witness,FIR-2004-537,Satna
Namaraj Bhatt,1,60,Victim,FIR-2012-594,Indore
Tech Bahadur Thakuri,1,58,Suspect,FIR-2024-447,Rewa
mohammad sawir,1,54,Criminal,FIR-2019-823,Satna
abu shesh,1,54,Suspect,FIR-2013-786,Indore
Ashok  Yadav,1,45,Victim,FIR-2024-297,Satna
Rajeswar . Rai,1,33,Suspect,FIR-2000-936,Rewa
Saraswati Ra,0,30,Witness,FIR-2013-716,Jabalpur
Sanjay Taru,1,26,Suspect,FIR-2011-336,Jabalpur
M. Vikas,0,22,Victim,FIR-2010-619,Bhopal
Sharda  Dahal,0,27,Criminal,FIR-2017-138,Gwalior
Roshan . Bhandari,1,25,Victim,FIR-2023-443,Bhopal
Indra Bahadur Aale Magar,1,43,Witness,FIR-2011-783,Sagar
Anil  Moktan,1,46,Criminal,FIR-2017-930,Rewa
Pima Nepal,0,39,Suspect,FIR-2021-127,Indore
Jagat Kark,1,31,Suspect,FIR-2002-317,Rewa
R. Panthi,0,58,Suspect,FIR-2024-906,Satna
Pashupati Sris,1,37,Victim,FIR-2017-933,Sagar
rinku devi,0,55,Victim,FIR-2009-490,Indore
Shanti Devi Kasodhan,0,20,Suspect,FIR-2024-387,Bhopal
chari tamang,0,47,Witness,FIR-2010-701,Bhopal
Sushmita  Gurung,0,49,Suspect,FIR-2006-109,Ujjain
Riya Agarwa,0,58,Victim,FIR-2010-768,Satna
R. Nepali,1,50,Victim,FIR-2014-197,Sagar
Queen  Raanaa,0,36,Victim,FIR-2024-714,Sagar
Nainsara Devi Piercing,0,50,Victim,FIR-2003-957,Bhopal
Himraj . Pokharel,1,51,Victim,FIR-2019-137,Rewa
Dumber Brave Alligaator,1,21,Witness,FIR-2023-698,Dewas
Ganga Nepal,0,23,Victim,FIR-2017-348,Satna
Shankar  Bohra,1,38,Suspect,FIR-2009-570,Dewas
Santosh Kumar Sharma,1,28,Criminal,FIR-2005-103,Sagar
ayuv  miyaa,1,49,Suspect,FIR-2016-256,Jabalpur
Dashni Majh,0,54,Witness,FIR-2020-672,Indore
A. Khatiwada,1,35,Victim,FIR-2014-553,Bhopal
Pramisa Arya,0,56,Witness,FIR-2004-267,Satna
Jhak Thapa,1,36,Criminal,FIR-2007-486,Bhopal
M. Shah,1,19,Victim,FIR-2001-123,Jabalpur
sunita lodh,0,25,Victim,FIR-2000-922,Sagar
Bhinshoo L. Chowdhary,1,45,Suspect,FIR-2022-753,Rewa
Ganga Bahadur Koirala,1,53,Witness,FIR-2008-553,Sagar
meena . devi,0,35,Witness,FIR-2003-620,Ujjain
Vindeshwar Yadav,1,43,Suspect,FIR-2000-303,Sagar
Pravin Mehra,1,24,Witness,FIR-2024-156,Ujjain
Susmita Acami,0,43,Witness,FIR-2002-162,Satna
Ganga M. Raut,0,59,Victim,FIR-2020-684,Rewa
Seema Chowdhury,0,33,Witness,FIR-2006-450,Rewa
Sonam Limbu,1,58,Victim,FIR-2002-158,Rewa
Dill Kumari Ghimire,0,47,Criminal,FIR-2013-253,Jabalpur
Dhansari Shah,0,59,Suspect,FIR-2022-116,Bhopal
Prakash Tharu,1,20,Suspect,FIR-2011-334,Jabalpur
Sunil Bandari,1,33,Victim,FIR-2005-417,Dewas
P. Magar,1,56,Witness,FIR-2015-850,Dewas
Pravesh Pandey,1,42,Victim,FIR-2005-362,Gwalior
Dumbar Limb,0,39,Victim,FIR-2011-646,Rewa
Vishnu Nagarkot,0,24,Witness,FIR-2009-597,Rewa
Naresh Kumar Meher,1,45,Criminal,FIR-2022-961,Sagar
C. Khanal,1,32,Witness,FIR-2013-387,Satna
Mangal Bohr,1,21,Suspect,FIR-2008-554,Jabalpur
always on the move,1,57,Criminal,FIR-2010-306,Indore
Ratbhane  Vohra,1,49,Suspect,FIR-2015-952,Indore
Ritu . G.C.,0,54,Suspect,FIR-2018-818,Satna
L. Choudhary,1,35,Criminal,FIR-2010-982,Dewas
Pratap Budhathok,1,24,Suspect,FIR-2010-501,Ujjain
Veer Bahadur Tamang,1,30,Criminal,FIR-2005-802,Rewa
like goddess durgaa,0,55,Victim,FIR-2018-921,Dewas
Shrimaya Tamang,0,54,Suspect,FIR-2016-796,Ujjain
Pawan Dhami,1,51,Witness,FIR-2013-104,Sagar
Leela Devi Khaatiwaadaa,0,34,Criminal,FIR-2001-871,Sagar
Ram Tharu,1,31,Criminal,FIR-2009-798,Sagar
Dhananjay Singh Kunwar,1,60,Suspect,FIR-2024-825,Satna
Sansriya Koirin,0,44,Suspect,FIR-2016-495,Gwalior
Binmala Ghart,0,39,Victim,FIR-2017-269,Indore
Mahichan Sahni,1,24,Victim,FIR-2015-349,Jabalpur
Hari Maya Jimba,0,30,Suspect,FIR-2012-306,Dewas
Chakra Bahadur Chahar,1,53,Witness,FIR-2018-415,Bhopal
Naina  Magar,0,50,Criminal,FIR-2006-372,Dewas
L. Damai,1,28,Suspect,FIR-2001-658,Ujjain
Ranjana Shrestha,0,53,Victim,FIR-2012-722,Indore
Kshama Gyawal,0,30,Witness,FIR-2003-493,Rewa
Krishna Maya Bhujel,0,29,Suspect,FIR-2020-693,Indore
Kanaanya Cowdary,1,20,Witness,FIR-2003-922,Indore
Ram Prakash Pariyar (Nepali),1,45,Victim,FIR-2010-351,Indore
Kul Ra,1,51,Witness,FIR-2000-679,Jabalpur
sita sedayi,0,27,Criminal,FIR-2016-662,Bhopal
Hari Prasad Adhikaari,1,44,Suspect,FIR-2008-187,Rewa
g. dhami,1,51,Victim,FIR-2002-464,Jabalpur
Arjun  Pasman,1,49,Witness,FIR-2011-603,Bhopal
Saroj Kumar Mandal,1,33,Witness,FIR-2021-159,Ujjain
R. Aale,1,27,Suspect,FIR-2005-664,Satna
N. V.C,1,48,Criminal,FIR-2012-330,Indore
M. Ansari,0,58,Criminal,FIR-2018-518,Dewas
Shesh Nath Singhda,1,52,Criminal,FIR-2008-937,Satna
Pravin Thandar,1,54,Suspect,FIR-2003-642,Sagar
Amvika Thakur,0,29,Victim,FIR-2016-152,Ujjain
Faudar Cowdury,1,36,Witness,FIR-2007-507,Sagar
T. Gurung,0,44,Victim,FIR-2024-304,Ujjain
point bes,0,55,Victim,FIR-2024-904,Sagar
Saraswati Batt,0,46,Suspect,FIR-2014-307,Ujjain
Dharma Shahi,1,39,Criminal,FIR-2008-359,Jabalpur
imagination peopl,0,38,Criminal,FIR-2009-130,Indore
Kanchi Tapamagar,0,37,Witness,FIR-2015-330,Jabalpur
Jivchhi Dev,0,47,Witness,FIR-2011-450,Indore
khilnath  hill,1,32,Victim,FIR-2006-960,Rewa
M. Upreti,0,51,Witness,FIR-2004-121,Rewa
Bal Bahadur Sarki,1,20,Victim,FIR-2003-856,Gwalior
Tech Thakuri,1,45,Witness,FIR-2004-911,Jabalpur
Vishnu Kawas,0,28,Victim,FIR-2010-553,Indore
Ram Dagaura,0,51,Suspect,FIR-2019-209,Indore
Sudip Rana,1,40,Witness,FIR-2006-698,Gwalior
Full Pokrel,0,40,Victim,FIR-2002-805,Sagar
krishna dev,0,53,Criminal,FIR-2010-703,Bhopal
Tilla Gharti,0,29,Suspect,FIR-2006-141,Bhopal
Pujan Limbu,1,46,Witness,FIR-2019-540,Sagar
R. Rai,0,33,Victim,FIR-2010-667,Sagar
Nikhil Shah,1,37,Suspect,FIR-2008-497,Ujjain
amrita  sunhaar,0,38,Criminal,FIR-2017-116,Rewa
Sing B. Ghale,1,28,Suspect,FIR-2022-343,Rewa
Saraswati Ghimire,0,33,Suspect,FIR-2008-258,Bhopal
Chij Maya Bhattarai,0,29,Criminal,FIR-2004-714,Dewas
sun m. tamang,0,20,Criminal,FIR-2014-610,Jabalpur
Bidhan  Roy,1,37,Witness,FIR-2000-587,Gwalior
Ram Karni Thaaruni,0,56,Suspect,FIR-2020-117,Ujjain
nanda . joshi,0,38,Criminal,FIR-2000-423,Bhopal
Prateek Awasthi,1,35,Victim,FIR-2024-885,Indore
Tulsi Thapa,0,24,Victim,FIR-2024-983,Jabalpur
Bhim M. Khadka,0,34,Criminal,FIR-2008-104,Indore
Jokhe . re,1,27,Criminal,FIR-2022-989,Jabalpur
Y. Karki,0,40,Suspect,FIR-2004-382,Rewa
Shukram  Maahaato,1,47,Victim,FIR-2006-239,Gwalior
Krishna Prasad Paaraajuli,1,57,Victim,FIR-2003-803,Ujjain
Bhim Bahadur Kasera,1,50,Witness,FIR-2014-375,Sagar
Nirjala Shresth,0,37,Criminal,FIR-2011-386,Dewas
Rama Ashish Kevattatt,1,41,Victim,FIR-2019-605,Sagar
c. dangi,0,39,Victim,FIR-2009-903,Dewas
Delhi Ra,1,28,Witness,FIR-2007-263,Satna
Sushila  Maandaal,0,53,Suspect,FIR-2015-795,Ujjain
Deepak Lama,1,21,Suspect,FIR-2002-170,Satna
Hark Bahadur Sound,1,42,Criminal,FIR-2007-727,Satna
Januki  Dangol,0,59,Witness,FIR-2018-845,Indore
Gokarna B. Karki,1,56,Suspect,FIR-2019-274,Jabalpur
Bir Tapa,1,27,Victim,FIR-2008-458,Dewas
Geeta Shah,0,34,Victim,FIR-2017-265,Rewa
Pas Kumari Gurung,0,24,Witness,FIR-2016-303,Sagar
Karuna Paudel,0,59,Suspect,FIR-2002-153,Dewas
Nainapati  Devi,0,60,Criminal,FIR-2022-638,Dewas
glassy  lamina,0,40,Victim,FIR-2007-714,Jabalpur
without . tamang,0,29,Suspect,FIR-2017-413,Gwalior
Pawan K. Devi,0,59,Criminal,FIR-2002-862,Satna
Lalita . Choudhary,0,23,Victim,FIR-2004-927,Gwalior
Mukesh  Kaathaayaat,1,37,Criminal,FIR-2008-723,Rewa
mintu . tharu,1,46,Criminal,FIR-2008-357,Jabalpur
Dipesh Upreti,1,24,Victim,FIR-2016-533,Dewas
raju . tharu,1,58,Criminal,FIR-2015-673,Ujjain
joginder sahan,1,33,Victim,FIR-2019-672,Jabalpur
a. shesh,1,24,Suspect,FIR-2022-199,Jabalpur
Heeka  Rokaamaagaar,0,50,Suspect,FIR-2004-467,Gwalior
Prakash Tokar,1,28,Suspect,FIR-2003-195,Bhopal
Vishnu  Adhikaari,0,47,Victim,FIR-2013-370,Sagar
Jailun Dunia,1,43,Criminal,FIR-2004-867,Satna
Marich Mukta,1,26,Victim,FIR-2020-661,Rewa
D. Ghimire,0,28,Criminal,FIR-2004-417,Dewas
Ashiya Kumari Mandal,0,50,Suspect,FIR-2007-742,Indore
sanju tamang,0,45,Witness,FIR-2021-191,Gwalior
Ishaan Buddhacharya,1,51,Criminal,FIR-2012-881,Gwalior
govind p. tamoli,1,22,Criminal,FIR-2006-214,Bhopal
sunil  gaahaa,1,47,Witness,FIR-2003-773,Gwalior
Gyan Rai,1,31,Victim,FIR-2020-589,Jabalpur
V. Adhikari,1,38,Victim,FIR-2024-673,Ujjain
L. Yadav,0,21,Witness,FIR-2014-851,Ujjain
mintu tharu,1,57,Victim,FIR-2017-553,Rewa
Keola . Devi,0,52,Witness,FIR-2002-802,Bhopal
Hari Bahadur Maharjan,1,50,Criminal,FIR-2001-948,Sagar
M. (Cattail),0,28,Witness,FIR-2016-649,Gwalior
Dharam B. Dagaura,1,56,Victim,FIR-2005-705,Rewa
Rohita Limbu,0,41,Victim,FIR-2007-278,Sagar
B. Singh,0,19,Suspect,FIR-2002-946,Sagar
Radhika Dhakal,0,48,Criminal,FIR-2010-839,Gwalior
chandra k. ale,0,60,Suspect,FIR-2020-470,Indore
Narayan Bhagat Baaraai,1,23,Witness,FIR-2011-845,Jabalpur
Kul Tamang,1,23,Criminal,FIR-2016-458,Ujjain
ran away maamu,0,26,Witness,FIR-2000-208,Jabalpur
P. Farsal,0,27,Victim,FIR-2006-368,Dewas
Niranjan Sigde,1,59,Suspect,FIR-2019-621,Bhopal
Dhan M. Khadka,0,22,Victim,FIR-2015-358,Dewas
Ram Bahadur K.C.,1,18,Witness,FIR-2020-792,Gwalior
Deepak . Kshetri,1,44,Victim,FIR-2002-653,Jabalpur
Kiran Kumar KC,1,18,Suspect,FIR-2012-990,Sagar
Chhedi  Yaadaav,1,55,Suspect,FIR-2016-845,Ujjain
Nand Pokarel,1,54,Criminal,FIR-2012-769,Dewas
